Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Action & Adventure', 'Science Fiction & Fantasy']",49,Jonathan Liebesman,25,"[' Sam Worthington', ' Liam Neeson', ' Ralph Fiennes', ' Edgar Ramirez', ' Toby Kebbell', ' Rosamund Pike']",Wrath of the Titans (2012)
"['Art House & International', 'Drama']",65,Bernardo Bertolucci,83,"[' Ugo Tognazzi', ' Anouk Aim\xc3\xa9e', ' Riccardo Tognazzi', ' Laura Morante', ' Victor Cavallo', ' Olimpia Carlisi']",La tragedia di un uomo ridicolo (The Tragedy of a Ridiculous Man)(Tragedy of a Ridiculous Man) (1982)
"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']",57,Hal Hartley,44,"[' Parker Posey', ' Jeff Goldblum', ' James Urbaniak', ' D.J. Mendel', ' Liam Aiken', ' Megan Gay']",Fay Grim (2007)
"['Drama', 'Romance', 'Classics']",83,Jack Clayton,100,"[' Laurence Harvey', ' Simone Signoret', ' Heather Sears', ' Donald Wolfit', ' Donald Houston', ' Ambrosine Phillpotts']",Room at the Top (1959)
"['Western', 'Drama', 'Action & Adventure', 'Classics']",71,Ralph Nelson,43,"[' Candice Bergen', ' Peter Strauss', ' Donald Pleasence', ' Bob Carraway', ' Jorge Rivero', ' Dana Elcar']",Soldier Blue (1970)
['Drama'],69,Lindsey Christian,22,"[' Monique Cameron', ' Clifton Powell', ' Wood Harris', ' Erica Chamblee', ' Andr\xc3\xa9 Strong']",Jazz in the Diamond District (2007)
"['Documentary', 'Special Interest']",68,Phie Ambo,73,"[' Richard Davidson', ' Will', ' Steve', ' Rich', ' Laura Pinger', ' Emma Seppala']",Free The Mind (2013)
"['Mystery & Suspense', 'Drama']",49,Robert Benton,43,"[' Anthony Hopkins', ' Nicole Kidman', ' Ed Harris', ' Gary Sinise', ' Wentworth Miller', ' Jacinda Barrett']",The Human Stain (2003)
"['Comedy', 'Kids & Family']",56,Shawn Levy,24,"[' Steve Martin', ' Bonnie Hunt', ' Piper Perabo', ' Tom Welling', ' Hilary Duff', ' Kevin Schmidt']",Cheaper by the Dozen (2003)
"['Drama', 'Animation', 'Kids & Family', 'Comedy']",76,Isao Takahata,75,"[' Toru Masuoka', ' Yukiji Asaoka', ' Masako Araki', ' Naomi Uno', ' Akiko Yano', ' Chocho Miyako']",My Neighbors the Yamadas (1999)
"['Drama', 'Horror', 'Mystery & Suspense', 'Comedy']",53,Dan Rosen,0,"[' Matthew Lillard', ' Michael Vartan', ' Randall Batinkoff', ' Keri Russell', ' Dana Delany', ' Tamara Craig Thomas']",The Curve (Dead Man's Curve) (1998)
"['Drama', 'Art House & International', 'Mystery & Suspense', 'Science Fiction & Fantasy']",93,Kenji Mizoguchi,100,"[' Machiko Kyo', ' Masayuki Mori', ' Kinuyo Tanaka', ' Eitar\xc3\xb4 Ozawa', ' Ikio Sawamura', ' Sakae Ozawa']",Ugetsu monogatari  (1954)
['Drama'],44,Ronald F. Maxwell,21,"[' Billy Campbell', ' Angus Macfadyen', ' Augustus Prew', ' Lucy Boynton', ' Casey Thomas Brown', ' Peter Fonda']",Copperhead (2013)
"['Documentary', 'Mystery & Suspense', 'Special Interest']",39,John Erick Dowdle,27,"[' Perdita Weeks', ' Ben Feldman', ' Edwin Hodge', ' Fran\xc3\xa7ois Civil', ' Marion Lambert', ' Ali Marhyar']","As Above, So Below (2014)"
['Drama'],80,Steven Spielberg,90,"[' Daniel Day-Lewis', ' Sally Field', ' David Strathairn', ' Tommy Lee Jones', ' Joseph Gordon-Levitt', ' James Spader']",Lincoln (2012)
"['Drama', 'Action & Adventure', 'Art House & International', 'Science Fiction & Fantasy']",48,Catherine Breillat,78,"[' Dominique Thomas', ' Lola Creton', ' Daphn\xc3\xa9 Baiwir', ' Marilou Lopes-Benite...', ' Lola Giovannetti', ' Daphne Baiwar']",Bluebeard (2010)
"['Romance', 'Classics', 'Comedy']",65,Stanley Donen,100,"[' Cary Grant', ' Deborah Kerr', ' Robert Mitchum', ' Jean Simmons', ' Moray Watson']",The Grass Is Greener (1960)
"['Musical & Performing Arts', 'Animation']",77,Géza M. Tóth,38,"[' \xc3\x81kos Ambrus', ' Imre Mad\xc3\xa1csi', ' Attila Pacsay']",Maestro (2005)
['Drama'],86,Ingmar Bergman,100,"[' Max von Sydow', ' Ingrid Thulin', ' Bibi Andersson', ' Gunnar Bjornstrand', ' Bengt Ekerot', ' Gertrud Fridh']",The Magician (1958)
['Drama'],45,Dennis Lee,20,"[' Emily Watson', ' Julia Roberts', ' Cayden Boyd', ' Frank Ertl', ' George Newbern', ' Carrie-Anne Moss']",Fireflies in the Garden (2011)
['Comedy'],85,Harold Ramis,95,"[' Chevy Chase', "" Beverly D'Angelo"", ' Imogene Coca', ' Randy Quaid', ' Anthony Michael Hall', ' Dana Barron']",National Lampoon's Vacation (1983)
"['Drama', 'Comedy']",49,Jennifer Westfeldt,66,"[' Adam Scott', ' Jennifer Westfeldt', ' Jon Hamm', ' Kristen Wiig', ' Maya Rudolph', "" Chris O'Dowd""]",Friends With Kids (2012)
"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Comedy']",36,Steve Miner,40,"[' Bill Pullman', ' Bridget Fonda', ' Oliver Platt', ' Brendan Gleeson', ' Betty White', ' David Lewis']",Lake Placid (1999)
"['Mystery & Suspense', 'Drama']",75,Robert Zemeckis,77,"[' Don Cheadle', ' Denzel Washington', ' Kelly Reilly', ' John Goodman', ' Brian Geraghty', ' Bruce Greenwood']",Flight (2012)
"['Drama', 'Action & Adventure']",82,Paul Greengrass,91,"[' Becky London', ' Cheyenne Jackson', ' Chip Zien', ' Ben Sliney', ' Leigh Zimmerman', ' Denny Dillon']",United 93 (2006)
"['Mystery & Suspense', 'Action & Adventure']",22,Deran Sarafian,17,"[' Charlie Sheen', ' Nastassja Kinski', ' James Gandolfini', ' Christopher McDonald', ' Gary Bullock', ' Hans Howes']",Terminal Velocity (1994)
"['Action & Adventure', 'Classics', 'Comedy']",93,Fred C. Newmeyer,96,"[' Harold Lloyd', ' Mildred Davis', ' Bill Strother', ' Noah Young', ' W.B. Clarke', ' Mickey Daniels']",Safety Last! (1923)
"['Drama', 'Classics', 'Comedy']",90,Howard Hawks,97,"[' Cary Grant', ' Rosalind Russell', ' Gene Lockhart', ' Helen Mack', ' Ralph Bellamy', ' Porter Hall']",His Girl Friday (1940)
['Comedy'],47,Michael Ritchie,43,"[' Dan Aykroyd', ' Walter Matthau', ' Charles Grodin', ' Donna Dixon', ' Richard Romanus', ' Mary Gross']",The Couch Trip (1988)
"['Drama', 'Romance']",56,Eric Styles,36,"[' Rupert Graves', ' Samantha Morton', ' Lee Ross', ' Miriam Margolyes', ' Nicholas Woodeson', ' Felix Billson']",Dreaming of Joseph Lees (1999)
"['Drama', 'Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",93,R. J. Kizer,13,"[' Raymond Burr', ' Keiju Kobayashi', ' Ken Tanaka', ' Yasuko Sawaguchi', ' Shin Takuma', ' Eitar\xc3\xb4 Ozawa']",Godzilla 1985 (1984)
"['Drama', 'Art House & International', 'Comedy']",82,Carlos Sorín,83,"[' Juan Villegas', ' Walter Donado', ' Rosa Valsecchi', ' Gregorio the dog', ' Mariela D\xc3\xadaz', ' Rosa Valsechi']",Bombon: El Perro (2005)
"['Science Fiction & Fantasy', 'Horror']",58,Don Coscarelli,38,"[' Angus Scrimm', ' James LeGros', ' Reggie Bannister', ' Paula Irvine', ' Samantha Phillips', ' Kenneth Tigar']",Phantasm II (2000)
"['Drama', 'Romance', 'Comedy']",74,Brad Anderson,74,"[' Hope Davis', ' Alan Gelfant', ' Philip Seymour Hoffm...', ' Callie Thorne', ' Holland Taylor', ' Lawrence Gilliard Jr...']",Next Stop Wonderland (1998)
"['Documentary', 'Special Interest']",73,Mark Becker,91,"[' Mark Landis', ' Matthew Leininger', ' Aaron Cowan', ' Jill Chancey', ' Donna English', ' John Gapper']",Art and Craft (2014)
"['Drama', 'Art House & International', 'Comedy']",89,Pedro Almodóvar,89,"[' Carmen Maura', ' Antonio Banderas', ' Julieta Serrano', ' Mar\xc3\xada Barranco', ' Fernando Guill\xc3\xa9n Cue...', ' Rossy de Palma']",Mujeres al Borde de un Ataque de Nervios (Women on the Verge of a Nervous Breakdown) (1988)
"['Drama', 'Art House & International', 'Mystery & Suspense']",70,Marcelo Piñeyro,71,"[' Eduardo Noriega', ' Najwa Nimri', ' Eduard Fern\xc3\xa1ndez', ' Pablo Echarri', ' Ernesto Alterio', ' Natalia Verbeke']",El Metodo (2007)
"['Comedy', 'Romance']",60,Bobby Farrelly,65,"[' Drew Barrymore', ' Jimmy Fallon', ' Jason Spevack', ' Jack Kehler', ' Scott H. Severance', ' Jessamy R. Fin\xc3\xa9t']",Fever Pitch (2005)
"['Animation', 'Kids & Family']",86,Jennifer Lee (XXX) ,89,"[' Kristen Bell', ' Idina Menzel', ' Jonathan Groff', ' Josh Gad', ' Santino Fontana', ' Alan Tudyk']",Frozen (2013)
"['Drama', 'Art House & International', 'Comedy']",69,Agne Jaoui,87,"[' Marilou Berry', ' Jean-Pierre Bacri', ' Agn\xc3\xa8s Jaoui', ' Laurent Grevill', ' Virginie Desarnauts', ' Keine Bouhiza']",Look at Me (2005)
"['Drama', 'Action & Adventure', 'Romance', 'Classics', 'Comedy']",77,John Ford,60,"[' John Wayne', ' Lee Marvin', ' Jack Warden', ' Elizabeth Allen', ' Cesar Romero', ' Dorothy Lamour']",Donovan's Reef (1963)
['Drama'],80,Gavin Heffernan,76,"[' Gavin Heffernan', ' Janet Lane', ' Eric Simkin', ' Denise DePass', ' Yetide Badaki', ' Paul Rogic']",Expiration (2003)
['Drama'],45,Don Roos,39,"[' Natalie Portman', ' Lisa Kudrow', ' Scott Cohen', ' Charlie Tahan', ' Lauren Ambrose', ' Michael Cristofer']",The Other Woman (2011)
"['Mystery & Suspense', 'Drama']",27,Mark Frost,60,"[' James Spader', ' Joanne Whalley', ' Jason Robards', ' Piper Laurie', ' Charlotte Lewis', ' Mike Warren']",Storyville (1992)
"['Drama', 'Action & Adventure', 'Classics']",92,Robert Clouse,95,"[' Bruce Lee', ' Robert Wall', ' John Saxon', ' Jim Kelly', ' Anna Capri', ' Ahna Capri']",Enter the Dragon (1973)
"['Mystery & Suspense', 'Horror']",30,Terry West,50,"[' Jane Scarlett', ' Sergio Jones', ' Clark Beasley Jr.', ' Jim Coope', ' Georgia Kate Haege', ' Victor Flynn']",Flesh for the Beast (2003)
"['Documentary', 'Special Interest']",87,Stevan Riley,100,"[' Albert R. Broccoli', ' Dana Broccoli', ' Ian Fleming', ' Harry Saltzman']",Everything or Nothing: The Untold Story of 007 (2012)
"['Drama', 'Art House & International', 'Mystery & Suspense']",63,Lucía Puenzo,73,"[' Alex Brendem\xc3\xbchl', ' Florencia Bado', ' Diego Peretti', ' Natalia Oreiro', ' Alan Daicz', ' Elena Roger']",The German Doctor (2014)
"['Mystery & Suspense', 'Action & Adventure']",41,George P. Cosmatos,13,"[' Sylvester Stallone', ' Brigitte Nielsen', ' Reni Santoni', ' Lee Garlington', ' John Herzfeld', ' Art LaFleur']",Cobra (1986)
"['Mystery & Suspense', 'Drama']",82,Matthew Ryan Hoge,34,"[' Don Cheadle', ' Ryan Gosling', ' Chris Klein', ' Jena Malone', ' Lena Olin', ' Kevin Spacey']",The United States of Leland (2004)
"['Drama', 'Art House & International', 'Comedy']",92,Jan Sverák,96,"[' Zdenek Sver\xc3\xa1k', ' Andrei Chalimon', ' Andrej Chalimon', ' Andrei Khalimon', ' Libuse Safr\xc3\xa1nkov\xc3\xa1', ' Ondrej Vetch\xc3\xbd']",Kolya (1997)
"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",65,Gregory Widen,41,"[' Christopher Walken', ' Elias Koteas', ' Eric Stoltz', ' Virginia Madsen', ' Moriah Snyder', ' Adam Goldberg']",The Prophecy (1995)
"['Documentary', 'Special Interest']",33,Steven Cantor,40,"[' Lenny McLean', "" Terence 'The Black P..."", ' Homer Cook', ' Alan Crosley', ' Allan Crosley', ' Frank DeMaio']",Bounce: Behind the Velvet Rope (2000)
"['Mystery & Suspense', 'Drama']",47,Gillian Armstrong,40,"[' Diane Keaton', ' Mel Gibson', ' Matthew Modine', ' Edward Herrmann', ' Trini Alvarado', ' Jennifer Dundas']",Mrs. Soffel (1984)
"['Drama', 'Romance', 'Comedy']",75,Claude Berri,100,"[' Audrey Tautou', ' Guillaume Canet', ' Laurent Stocker', ' Fran\xc3\xa7oise Bertin', ' Alain Sachs', ' Firmine Richard']","Ensemble, c'est tout (Hunting and Gathering) (2007)"
"['Mystery & Suspense', 'Science Fiction & Fantasy']",51,Andrew Niccol,36,"[' Justin Timberlake', ' Amanda Seyfried', ' Cillian Murphy', ' Vincent Kartheiser', ' Olivia Wilde', ' Matt Bomer']",In Time (2011)
['Comedy'],59,Fred Schepisi,53,"[' John Cleese', ' Jamie Lee Curtis', ' Kevin Kline', ' Michael Palin', ' Ronnie Corbett', ' Carey Lowell']",Fierce Creatures (1997)
['Comedy'],79,Alexander Payne,92,"[' Matthew Broderick', ' Reese Witherspoon', ' Chris Klein', ' Jessica Campbell', ' Colleen Camp', ' Frankie Ingrassia']",Election (1999)
['Comedy'],62,Lisa Sprecher,83,"[' Lisa Kudrow', ' Parker Posey', ' Toni Collette', ' Alanna Ubach', ' Paul Dooley', ' Stanley de Santis']",Clockwatchers (1998)
"['Drama', 'Horror', 'Romance']",75,Jacques Tourneur,92,"[' James Ellison', ' Frances Dee', ' Tom Conway', ' Edith Barrett', ' James Bell', ' Christine Gordon']",I Walked With a Zombie (1943)
"['Western', 'Drama', 'Classics']",90,William Wyler,100,"[' Gregory Peck', ' Jean Simmons', ' Carroll Baker', ' Charlton Heston', ' Burl Ives', ' Charles Bickford']",The Big Country (1958)
"['Art House & International', 'Drama']",89,Richard Attenborough,81,"[' Kevin Kline', ' Denzel Washington', ' Penelope Wilton', ' Kate Hardie', ' Josette Simon', ' Zakes Mokae']",Cry Freedom (1987)
"['Drama', 'Classics']",79,Norman Jewison,85,"[' Steve McQueen', ' Edward G. Robinson', ' Tuesday Weld', ' Karl Malden', ' Ann-Margret', ' Joan Blondell']",The Cincinnati Kid (1965)
"['Drama', 'Action & Adventure', 'Romance', 'Mystery & Suspense', 'Science Fiction & Fantasy']",72,Steve DeJarnatt,87,"[' Anthony Edwards', ' Mare Winningham', ' John Agar', ' Lou Hancock', ' Mykelti Williamson', ' Kelly Jo Minter']",Miracle Mile (1989)
"['Mystery & Suspense', 'Drama']",59,Richard Marquand,82,"[' Glenn Close', ' Jeff Bridges', ' Peter Coyote', ' Robert Loggia', ' John Dehner', ' Karen Austin']",Jagged Edge (1985)
"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",39,David Pastor,64,"[' Lou Taylor Pucci', ' Chris Pine', ' Piper Perabo', ' Emily VanCamp', ' Christopher Meloni', ' Mary Peterson']",Carriers (2009)
['Drama'],48,Paul Morrison,24,"[' Ruben Arroyo', ' Robert Pattinson', ' Matthew McNulty', ' Javier Beltr\xc3\xa1n', ' Arly Jover', ' Esther Nubiola']",Little Ashes (2009)
"['Drama', 'Musical & Performing Arts', 'Classics', 'Science Fiction & Fantasy', 'Comedy']",85,H. Bruce Humberstone,100,"[' Danny Kaye', ' Virginia Mayo', ' Vera-Ellen', ' Donald Woods', ' S.Z. Sakall', ' Allen Jenkins']",Wonder Man (1945)
"['Drama', 'Art House & International', 'Special Interest']",74,Yimou Zhang,42,"[' Christian Bale', ' Shigeo Kobayashi', ' Paul Schneider', ' Ni Ni', ' Huang Tianyuan', ' Dawei Tong']",The Flowers of War (2011)
"['Drama', 'Action & Adventure']",86,Phillip Noyce,88,"[' Everlyn Sampi', ' Tianna Sansbury', ' Laura Monaghan', ' Kenneth Branagh', ' David Gulpilil', ' Ningali Lawford']",Rabbit-Proof Fence (2002)
"['Horror', 'Mystery & Suspense', 'Comedy']",30,Anthony Waller,7,"[' Tom Everett Scott', ' Julie Delpy', ' Vince Vieluf', ' Phil Buckman', ' Julie Bowen', ' Pierre Cosso']",An American Werewolf in Paris (1997)
"['Documentary', 'Comedy']",87,Michael Dowse,55,"[' Dave Lawrence', ' Paul Spence', ' Gordon Skilling']",FUBAR (2002)
"['Drama', 'Comedy']",93,Morgan Matthews,100,"[' Asa Butterfield', ' Eddie Marsan', ' Rafe Spall', ' Sally Hawkins', ' Martin McCann', ' Jo Yang']",A Brilliant Young Mind (2015)
['Mystery & Suspense'],39,Jorge Dorado,32,"[' Taissa Farmiga', ' Mark Strong (II)', ' Brian Cox', ' Julio Perillan', ' Clare Calbraith', ' Alberto Ammann']",Anna (2014)
"['Documentary', 'Sports & Fitness', 'Special Interest']",78,Steve James,88,"[' Chris Nowinski', ' Alan Schwarz', ' Keith Primeau', ' Cindy Parlow Cone', ' Bob Costas', ' Isaiah Kacyvenski']",Head Games (2012)
['Action & Adventure'],50,Menahem Golan,20,"[' Chuck Norris', ' Lee Marvin', ' Martin Balsam', ' Joey Bishop', ' Robert Forster', ' Lainie Kazan']",The Delta Force (1986)
"['Documentary', 'Special Interest']",50,Julie Benasra,17,"[' Kelly Rowland', ' Fergie', ' Dita von Teese', ' Manolo Blahnik', ' Meghan Cleary', ' Stacy Ferguson']",God Save My Shoes (2012)
"['Mystery & Suspense', 'Drama']",38,Adam Sherman,9,"[' Mark L. Young', ' Hanna Hall', ' Jesse Plemons', ' Laura Peters', ' Shiloh Fernandez', ' Andie MacDowell']",Happiness Runs (2010)
"['Documentary', 'Special Interest']",100,Philip F. Messina,60,"[' Miguel Angel Ramos', ' Kenneth Harrigan', ' Casimiro Torres', ' Vilma Ortiz Donovan']",Released (2013)
['Comedy'],37,Jody Hill,51,"[' Seth Rogen', ' Ray Liotta', ' Michael Pe\xc3\xb1a', ' Anna Faris', ' Dan Bakkedahl', ' Jesse Plemons']",Observe and Report (2009)
"['Drama', 'Romance', 'Classics']",85,William Wyler,92,"[' Greer Garson', ' Walter Pidgeon', ' Teresa Wright', ' Dame May Whitty', ' Richard Ney', ' Henry Travers']",Mrs. Miniver (1942)
['Drama'],57,Bart Freundlich,60,"[' Blythe Danner', ' Roy Scheider', ' James Le Gros', ' Laurel Holloman', ' Hope Davis', ' Brian Kerwin']",The Myth of Fingerprints (1997)
"['Drama', 'Science Fiction & Fantasy', 'Comedy']",87,Spike Jonze,93,"[' John Cusack', ' Cameron Diaz', ' Catherine Keener', ' John Malkovich', ' Orson Bean', ' Mary Kay Place']",Being John Malkovich (1999)
"['Drama', 'Horror']",38,Xan Cassavetes,58,"[' Josephine de la Baum...', ' Milo Ventimiglia', ' Roxane Mesquida', ' Anna Mouglalis', ' Michael Rapaport', ' Riley Keough']",Kiss Of The Damned (2013)
"['Drama', 'Action & Adventure']",62,John Luessenhop,28,"[' Hayden Christensen', ' Idris Elba', ' Matt Dillon', ' Paul Walker', ' Zoe Saldana', ' Chris Brown']",Takers (2010)
"['Drama', 'Classics']",72,Nunnally Johnson,75,"[' Gregory Peck', ' Jennifer Jones', ' Fredric March', ' Marisa Pavan', ' Ann Harding', ' Lee J Cobb']",The Man in the Gray Flannel Suit (1956)
['Drama'],72,Timothy Hutton,43,"[' Kevin Bacon', ' Mary Stuart Masterso...', ' Cathy Moriarty', ' Evan Rachel Wood', ' Marian Seldes', ' Joanne Pankow']",Digging to China (1998)
"['Drama', 'Mystery & Suspense', 'Classics']",91,Sidney Lumet,93,"[' Walter Matthau', ' Henry Fonda', "" Dan O'Herlihy"", ' Frank Overton', ' Edward Binns', ' Fritz Weaver']",Fail-Safe (1964)
"['Mystery & Suspense', 'Drama']",63,Nate Taylor,71,"[' Christopher Denham', ' Lindsay Beamish', ' Elizabeth Rice', ' Anna Camp', ' Paul Sparks', ' Phyllis Somerville']",Forgetting The Girl (2013)
"['Mystery & Suspense', 'Drama']",81,Roman Polanski,84,"[' Sigourney Weaver', ' Ben Kingsley', ' Stuart Wilson', ' Krystia Mova', ' Carlos Moreno', ' Jonathan Vega']",Death and the Maiden (1995)
"['Drama', 'Horror', 'Mystery & Suspense']",27,Renny Harlin,11,"[' Stellan Skarsgard', "" James D'Arcy"", ' Izabella Scorupco', ' Remy Sweeney', ' Julian Wadham', ' Andrew French']",Exorcist: The Beginning (2004)
"['Art House & International', 'Drama']",90,Ayelet Menahemi,100,"[' Mili Avital', ' Boaqi Chen', ' Anat Waxman', ' Alon Aboutboul', ' Yiftach Klein', ' BaoQi Chen']",Noodle (2007)
['Comedy'],78,Alan Metter,38,"[' Sarah Jessica Parker', ' Lee H. Montgomery', ' Morgan Woodward', ' Jonathan Silverman', ' Helen Hunt', ' Ed Lauter']",Girls Just Want to Have Fun (1985)
"['Action & Adventure', 'Animation', 'Kids & Family', 'Comedy']",81,Jerry Rees,75,"[' Jon Lovitz', ' Tim Stack', ' Timothy E. Day', ' Thurl Ravenscroft', ' Deanna Oliver', ' Phil Hartman']",The Brave Little Toaster (1987)
"['Drama', 'Action & Adventure', 'Kids & Family', 'Romance', 'Classics']",89,William Wyler,88,"[' Charlton Heston', ' Jack Hawkins', ' Stephen Boyd', ' Haya Harareet', ' Martha Scott', ' Sam Jaffe']",Ben-Hur (1959)
"['Drama', 'Romance']",90,Clint Eastwood,91,"[' Clint Eastwood', ' Hilary Swank', ' Morgan Freeman', ' Jay Baruchel', ' Mike Colter', ' Lucia Rijker']",Million Dollar Baby (2004)
"['Drama', 'Comedy']",57,David E. Talbert,13,"[' Ice Cube', ' Katt Williams', ' Tracy Morgan', ' Loretta Devine', ' Michael Beach', ' Keith David']",First Sunday (2008)
"['Mystery & Suspense', 'Horror']",77,Jaume Balagueró,93,"[' Luis Tosar', ' Marta Etura', ' Alberto San Juan', ' Pep Tosar', ' Iris Almeida', ' Petra Mart\xc3\xadnez']",Sleep Tight (2012)
"['Drama', 'Romance', 'Comedy']",39,Noam Murro,49,"[' Dennis Quaid', ' Sarah Jessica Parker', ' Thomas Haden Church', ' Ellen Page', ' Ashton Holmes', ' Christine Lahti']",Smart People (2008)
['Comedy'],76,Marcus Raboy,25,"[' Ice Cube', ' Mike Epps', ' John Witherspoon', "" Don 'D.C.' Curry"", ' Anna Maria Horsford', ' Clifton Powell']",Friday After Next (2002)
['Documentary'],36,Liv Corfixen,57,"[' Nicolas Winding Refn', ' Ryan Gosling']",My Life Directed By Nicolas Winding Refn (2015)
"['Documentary', 'Drama', 'Special Interest']",87,Guy Jarry,96,"[' Jacques Perrin', ' Philippe Labro']",Winged Migration (2003)
"['Art House & International', 'Drama']",50,Siegrid Alnoy,56,"[' Sasha Andres', ' Carlo Brandt', ' Catherine Mouchet', ' Eric Caravaca', ' Pierre-Felix Gravier...', ' Jacques Spiesser']",She's One of Us (2003)
"['Documentary', 'Drama', 'Special Interest']",57,Nick Agiashvili,17,"["" Ed O'Ross"", ' Shannon Elizabeth', ' Billy Zane', ' Annabella Sciorra', ' Malcolm McDowell', ' Roger Bart']",A Green Story (2013)
"['Action & Adventure', 'Science Fiction & Fantasy']",39,Ted Post,41,"[' James Franciscus', ' Kim Hunter', ' Charlton Heston', ' Maurice Evans', ' Linda Harrison', ' Paul Richards']",Beneath The Planet Of The Apes (1970)
"['Drama', 'Gay & Lesbian']",60,Gregg Araki,100,"[' James Duval', ' Roko Belic', ' Susan Behshid', ' Jenee Gill', ' Gilbert Luna', ' Lance May']",Totally (1993)
"['Art House & International', 'Drama']",92,Craig T. Nelson,92,"[' Sam Waterston', ' Dr. Haing S. Ngor', ' John Malkovich', ' Julian Sands', ' Craig T. Nelson', ' Spalding Gray']",The Killing Fields (1984)
"['Drama', 'Action & Adventure', 'Kids & Family']",45,Sam Pillsbury,44,"[' Jason James Richter', ' August Schellenberg', ' Annie Corley', ' Vincent Berry', ' Patrick Kilpatrick', ' Tasha Simms']",Free Willy 3: The Rescue (1997)
"['Drama', 'Art House & International', 'Comedy']",62,Jay Duplass,76,"[' Mark Duplass', ' Katie Aselton', ' Rhett Wilkins', ' Julie Fischer', ' Gerald Finnegan', ' Bari Hyman']",The Puffy Chair (2005)
['Science Fiction & Fantasy'],40,Luigi Cozzi,33,"[' Marjoe Gortner', ' Caroline Munro', ' Christopher Plummer', ' David Hasselhoff', ' Robert Tessier', ' Nadia Cassini']",Starcrash (1979)
['Comedy'],50,Ted Kotcheff,60,"[' George Segal', ' Jane Fonda', ' Ed McMahon', ' Dick Gautier', ' Hank Garcia', ' John Dehner']",Fun with Dick and Jane (1977)
"['Mystery & Suspense', 'Classics']",85,Fritz Lang,100,"[' Edward G. Robinson', ' Joan Bennett', ' Raymond Massey', ' Edmund Breon', ' Dan Duryea', ' Arthur Loft']",The Woman in the Window (1944)
"['Drama', 'Classics']",72,Richard Brooks (VI),75,"[' Paul Newman', ' Geraldine Page', ' Shirley Knight', ' Ed Begley Sr.', ' Rip Torn', ' Mildred Dunnock']",Sweet Bird of Youth (1962)
['Comedy'],30,Kat Coiro,26,"[' Krysten Ritter', ' Kate Bosworth', ' Rachel Bilson', ' Justin Kirk', ' Geoff Stults', ' Fallon Goodson']",L!fe Happens (2012)
"['Animation', 'Kids & Family', 'Musical & Performing Arts']",28,John Sanford (II),54,"[' Jennifer Tilly', ' Roseanne Barr', ' Judi Dench', ' Cuba Gooding Jr.', ' Steve Buscemi', ' G.W. Bailey']",Home on the Range (2004)
"['Drama', 'Romance', 'Science Fiction & Fantasy', 'Comedy']",94,Michel Gondry,93,"[' Jim Carrey', ' Kate Winslet', ' Kirsten Dunst', ' Tom Wilkinson', ' Elijah Wood', ' Mark Ruffalo']",Eternal Sunshine Of The Spotless Mind (2004)
"['Drama', 'Comedy']",68,Bruce Beresford,81,"[' Maynard Eziashi', ' Pierce Brosnan', ' Edward Woodward', ' Beatie Edney', ' Nick Reding', ' Bella Enahoro']",Mister Johnson (1991)
"['Mystery & Suspense', 'Horror']",42,Peter Yates,89,"[' William Hurt', ' Sigourney Weaver', ' Christopher Plummer', ' James Woods', ' Irene Worth', ' Kenneth McMillan']",Eyewitness (1981)
"['Comedy', 'Kids & Family']",67,Paul Flaherty,9,"[' Martin Short', ' Charles Grodin', ' Mary Steenburgen', ' Dabney Coleman', ' G.D. Spradlin', ' Anne Jeffreys']",Clifford (1994)
"['Documentary', 'Drama', 'Special Interest']",81,Abbas Kiarostami,78,"[' Abbas Kiarostami', ' Seifollah Samadian', ' Seyfolah Samadian']",ABC Africa (2002)
"['Drama', 'Action & Adventure', 'Mystery & Suspense']",76,David Cronenberg,87,"[' Viggo Mortensen', ' Maria Bello', ' Ed Harris', ' William Hurt', ' Ashton Holmes', ' Peter MacNeill']",A History of Violence (2005)
"['Mystery & Suspense', 'Comedy']",71,Bob Giraldi,33,"[' Jon Cryer', ' Keith Coogan', ' Annabeth Gish', ' Oliver Cotton', ' Claudio Brook', ' Claude Brooks']",Hiding Out (1987)
"['Mystery & Suspense', 'Drama']",31,Lance Daly,66,"[' Orlando Bloom', ' Michael Pe\xc3\xb1a', ' Riley Keough', ' Rob Morrow', ' Troy Garity', ' Taraji P. Henson']",The Good Doctor (2012)
"['Drama', 'Romance', 'Comedy']",61,J.C. Khoury,70,"[' Noah Bean', ' Rachel Boston', ' Anna Chlumsky', ' Jean Brassard', ' Al Thompson', ' Dreama Walker']",The Pill (2011)
"['Documentary', 'Kids & Family', 'Musical & Performing Arts', 'Sports & Fitness', 'Special Interest']",80,Dori Berinstein,100,"[' NETSational Seniors', ' Jaclyn Sabol', ' Marla Collins', ' Kimberlee Garris', ' Petra Pope', ' Audrey']",Gotta Dance (2009)
