Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Drama', 'Art House & International', 'Classics', 'Comedy']",65,Pier Paolo Pasolini,63,"[' Hugh Griffith', ' Laura Betti', ' Ninetto Davoli', ' Tom Baker', ' Josephine Chaplin', ' Franco Citti']",The Canterbury Tales (1971)
['Comedy'],47,Penelope Spheeris,6,"[' Marlon Wayans', ' David Spade', ' Matthew Lillard', ' Brad Dourif', ' Tamara Taylor', ' Rip Torn']",Senseless (1998)
"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",78,Stephen Norrington,55,"[' Wesley Snipes', ' Stephen Dorff', ' Kris Kristofferson', "" N'Bushe Wright"", ' Donal Logue', ' Udo Kier']",Blade (1998)
"['Drama', 'Romance', 'Mystery & Suspense']",36,Stephen Gyllenhaal,67,"[' Debra Winger', ' Barbara Hershey', ' Gabriel Byrne', ' David Strathairn', ' Chloe Webb', ' John Terry']",A Dangerous Woman (1993)
['Drama'],48,Mark Webber,56,"[' Mark Webber', ' Shannyn Sossamon', ' Amanda Seyfried', ' Michael Bacall', ' Isaac Love', ' Michael Cera']",The End of Love (2013)
"['Drama', 'Comedy']",86,Tom DiCillo,87,"[' Steve Buscemi', ' James LeGros', ' Catherine Keener', ' Dermot Mulroney', ' Danielle von Zerneck', ' Peter Dinklage']",Living in Oblivion (1995)
"['Drama', 'Art House & International', 'Special Interest']",87,Byambasuren Davaa,88,"[' Batchuluun Urjindorj', ' Babbayar Batchuluun', ' Nansal Batchuluun', ' Nansalmaa Batchuluun', ' Daramdadi Batchuluun', ' Buyandulam Daramdadi']",The Cave of the Yellow Dog (Die Hohle des gelben Hundes) (2005)
"['Drama', 'Action & Adventure']",76,Fyodor Bondarchuk,69,"[' Fyordor Bondarchuk', ' Aleksey Chadov', ' Artur Smolyaninov', ' Mikhail Porechenkov', ' Konstantin Kryukov', ' Artyom Mikhalkov']",The 9th Company (9 rota) (2005)
"['Drama', 'Mystery & Suspense', 'Comedy']",71,Sydney Lumet,75,"[' Michael Caine', ' Christopher Reeve', ' Dyan Cannon', ' Irene Worth', ' Henry Jones', ' Joe Silver']",Deathtrap (1982)
"['Drama', 'Gay & Lesbian', 'Comedy']",61,John Palmer,86,"[' Brendan Fehr', ' Andre Noble', ' Maury Chaykin', ' Sarah Polley', ' Marnie McPhail', ' Michael Riley']",Sugar (2004)
"['Musical & Performing Arts', 'Documentary']",78,Adam Yauch (as Nathaniel Hornblower),74,"[' Mike D', ' Adam Horowitz', ' Adam Yauch', ' Mix Master Mike', ' Money Mark', ' Alfredo Ortiz']",Awesome: I F. Shot That! (2006)
"['Classics', 'Comedy']",88,Charley Chase,100,"[' Stan Laurel', ' Oliver Hardy', ' Charley Chase', ' Mae Busch', ' Dorothy Christy', ' Lucien Littlefield']",Sons of the Desert (1933)
"['Documentary', 'Drama', 'Art House & International', 'Special Interest']",78,Malte Ludin,100,[' Malte Ludin'],Two or Three Things I Know About Him (2005)
"['Horror', 'Art House & International', 'Mystery & Suspense']",30,Fernando Barreda Luna,56,"[' Cristian Valencia', ' Clara Moraleda', ' Maria Jesus Pereiro']",Atrocious (2011)
"['Television', 'Kids & Family', 'Comedy']",32,Andy Cadif,21,"[' Christopher McDonald', ' Janine Turner', ' Cameron Finley', ' Erik von Detten', ' Eric Von Detten', ' Adam Zolotin']",Leave It to Beaver (1997)
"['Drama', 'Action & Adventure', 'Art House & International', 'Mystery & Suspense', 'Comedy']",63,Takeshi Kitano,86,"[' Hisashi Igawa', ' Johnny Okura', ' Takeshi Kitano', ' Takahito Iguchi', ' Jennifer Baer', ' Naotaka Hanai']",3-4x juugatsu (Boiling Point) (1990)
"['Drama', 'Romance', 'Art House & International', 'Comedy']",77,Udayan Prasad,78,"[' Om Puri', ' Rachel Griffiths', ' Stellan Skarsgard', ' Akbar Kurtha', ' Gopi Desai', ' Harish Patel']",My Son the Fanatic (1999)
"['Animation', 'Kids & Family']",28,Bradley Raymond,30,"[' Jason Alexander', ' Kevin Kline', ' Michael McKean', ' Tom Hulce', ' Paul Kandel', ' Jennifer Love Hewitt']",The Hunchback of Notre Dame II (2001)
"['Drama', 'Art House & International', 'Mystery & Suspense']",47,Mike Figgis,45,"[' Kevin Anderson', ' Kim Novak', ' Pam Gidley', ' Pamela Gidley', ' Bill Pullman', ' Thomas Kopache']",Liebestraum (1991)
