	Audience Score	Tomato-meter	Year	Genre	Director
1	45	41	2006	Action & Adventure	Christopher Reeve
9	44	53	1973	Action & Adventure	George A. Romero
13	61	75	1992	Action & Adventure	Andy Romano
18	50	8	2013	Action & Adventure	Andrew Niccol
25	80	62	2015	Action & Adventure	Juan José Campanella
29	78	55	1998	Action & Adventure	Stephen Norrington
49	84	96	1964	Action & Adventure	Terence Young
142	41	11	2010	Action & Adventure	Robert Luketic
201	27	33	2015	Action & Adventure	David Hackl
202	47	48	2014	Action & Adventure	Dave Green
203	47	0	1992	Action & Adventure	Peter Yates
204	54	67	1953	Action & Adventure	John Huston
211	33	8	1996	Action & Adventure	Rick Friedberg
244	35	36	2010	Action & Adventure	Adam Green
273	24	20	2014	Action & Adventure	Wing-cheong Law
292	96	97	1961	Action & Adventure	Akira Kurosawa
329	43	8	2015	Action & Adventure	Anne Fletcher
333	86	57	2007	Action & Adventure	Michael Bay
357	48	11	2008	Action & Adventure	Andy Tennant
365	78	58	2012	Action & Adventure	Bobs Gannaway
392	59	66	1971	Action & Adventure	Guy Hamilton
424	90	60	1984	Action & Adventure	Sam Firstenberg
448	60	64	2009	Action & Adventure	Terry Gilliam
462	17	40	1999	Action & Adventure	John Terlesky
463	31	14	1995	Action & Adventure	Robert Longo
474	49	29	1991	Action & Adventure	William Dear (II)
489	27	33	1989	Action & Adventure	Jim Wynorski
523	62	63	1978	Action & Adventure	Hal Needham
528	50	81	1985	Action & Adventure	George Miller
537	54	58	2010	Action & Adventure	Andrew Adamson
560	83	82	1983	Action & Adventure	Jackie Chan
564	81	85	1984	Action & Adventure	Steven Spielberg
622	42	43	2011	Action & Adventure	Jonathan English
641	47	57	1997	Action & Adventure	Louis Morneau
644	45	13	1991	Action & Adventure	Aaron Norris
657	38	60	1957	Action & Adventure	Josef von Sternberg
671	93	87	1980	Action & Adventure	John Landis
704	36	13	2013	Action & Adventure	Wayne Kramer
713	36	13	1994	Action & Adventure	Hervé Palud
715	46	38	2013	Action & Adventure	Jackie Chan
764	60	83	1963	Action & Adventure	Tony Richardson
765	56	31	1978	Action & Adventure	James Fargo
767	31	33	1980	Action & Adventure	Eric Karson
785	87	83	2007	Action & Adventure	Robert Rodriguez
786	33	33	2008	Action & Adventure	Daniel Myrick
793	79	8	2003	Action & Adventure	Casey La Scala
821	74	70	1982	Action & Adventure	John Milius
828	37	70	2007	Action & Adventure	Jim Mickle
830	39	67	2013	Action & Adventure	Richard Raaphorst
887	4	7	2013	Action & Adventure	David Jacobson
908	54	78	2008	Action & Adventure	Steven Spielberg
909	51	52	1997	Action & Adventure	Steven Spielberg
921	38	0	2002	Action & Adventure	Richard J. Lewis
936	39	15	1994	Action & Adventure	Charles T. Kanganis
939	38	60	1995	Action & Adventure	Roy Allen Smith
949	29	18	1985	Action & Adventure	Richard Fleischer
974	76	86	2002	Action & Adventure	Christopher Sanders
988	47	70	2003	Action & Adventure	Jonathan Mostow
1006	44	50	1977	Action & Adventure	Don Taylor
1007	78	70	2013	Action & Adventure	Chris Sanders
1015	63	74	2006	Action & Adventure	Gil Kenan
1021	56	64	1978	Action & Adventure	Guy Hamilton
1024	39	41	1997	Action & Adventure	Mimi Leder
1038	59	18	2014	Action & Adventure	Tim Story
1050	23	22	2000	Action & Adventure	P. J. Pesce
1067	42	41	2009	Action & Adventure	Yannick Dahan
1085	38	8	2013	Action & Adventure	Damian Lee
1086	72	72	2010	Action & Adventure	Jon Favreau
1094	61	39	2008	Action & Adventure	Mike Nawrocki
1097	47	44	1972	Action & Adventure	J. Lee Thompson
1107	71	55	1985	Action & Adventure	Walter Murch
1117	41	56	1997	Action & Adventure	Sam Weisman
1119	54	37	2010	Action & Adventure	Pierre Morel
1139	71	61	1977	Action & Adventure	Ralph Bakshi
1148	54	27	1997	Action & Adventure	Stuart Baird
1175	25	14	1989	Action & Adventure	George P. Cosmatos
1178	28	14	1993	Action & Adventure	John Badham
1221	29	20	1998	Action & Adventure	Jeff Woolnough
1234	52	15	2013	Action & Adventure	Tommy Wirkola
1262	72	88	1976	Action & Adventure	Arthur Hiller
1274	43	62	1979	Action & Adventure	Lewis Gilbert
1276	49	10	1984	Action & Adventure	Stewart Raffill
1283	88	97	1984	Action & Adventure	Ivan Reitman
1300	53	12	2008	Action & Adventure	David Hackl
1328	70	50	1995	Action & Adventure	Simon Wells
1329	67	40	2014	Action & Adventure	Jay Oliva
1340	69	72	2008	Action & Adventure	Timur Bekmambetov
1352	17	20	2001	Action & Adventure	Dick Maas
1356	37	19	1997	Action & Adventure	Mark Dippé
1357	38	58	2014	Action & Adventure	Joe Lynch
1360	29	33	1970	Action & Adventure	Jack Woods
1361	60	11	1998	Action & Adventure	Kevin Hooks
1371	52	58	1990	Action & Adventure	Phillip Noyce
1383	26	30	2013	Action & Adventure	Farren Blackburn
1400	56	42	1993	Action & Adventure	Luis Llosa
1413	74	33	1993	Action & Adventure	Richard Williams
1437	73	80	1935	Action & Adventure	Harold Young
1438	49	49	2012	Action & Adventure	David Palmer
1460	45	38	2009	Action & Adventure	Iain Softley
1461	69	83	2008	Action & Adventure	Yasuhiro Aoki
1470	72	16	2006	Action & Adventure	Len Wiseman
1503	29	2	2007	Action & Adventure	Aaron Seltzer
1550	40	22	2009	Action & Adventure	Hoyt Yeatman
1555	77	72	2013	Action & Adventure	Guillermo del Toro
1559	20	29	1994	Action & Adventure	Bradford May
1562	59	47	1989	Action & Adventure	Julian Doyle
1563	40	27	1994	Action & Adventure	Tad Stones
1568	9	14	2012	Action & Adventure	Maxim Korostyshevsky
1569	49	70	1972	Action & Adventure	Gordon Parks
1570	42	33	1995	Action & Adventure	David Salle
1578	60	64	2008	Action & Adventure	Rob Minkoff
1581	63	52	2003	Action & Adventure	Jonathan Kesselman
1588	83	90	2006	Action & Adventure	Richard Donner
1601	92	100	1928	Action & Adventure	Buster Keaton
1603	74	66	2007	Action & Adventure	Steve Anderson (V)
1605	34	13	2010	Action & Adventure	Eric Brevig
1613	56	46	2003	Action & Adventure	Patrick Gilmore (III)
1632	25	3	1997	Action & Adventure	John R. Leonetti
1643	36	33	1976	Action & Adventure	Kevin Connor
1645	66	75	1969	Action & Adventure	Robert Stevenson
1646	64	57	2012	Action & Adventure	Arnab Chaudhuri
1661	86	98	1935	Action & Adventure	Alfred Hitchcock
1671	79	53	1987	Action & Adventure	Fred Dekker
1679	74	88	2005	Action & Adventure	Mike Newell
1690	71	61	2006	Action & Adventure	Mark Neveldine
1710	54	33	2013	Action & Adventure	Callan Brunker
1711	43	31	2009	Action & Adventure	John Schultz
1754	44	43	1997	Action & Adventure	Sammo Kann-bo
1788	90	90	1992	Action & Adventure	Hal Hartley
1868	89	100	2014	Action & Adventure	Ken Ochiai
1877	78	68	2007	Action & Adventure	Wes Anderson
1880	63	71	1947	Action & Adventure	Jack Kinney
1882	23	15	2009	Action & Adventure	Harold Ramis
1883	54	50	1990	Action & Adventure	Richard Stanley
1889	31	21	2009	Action & Adventure	Benny Boom
1924	76	61	2014	Action & Adventure	Peter Jackson
1935	68	83	1976	Action & Adventure	John Sturges
1972	77	91	1981	Action & Adventure	Terry Gilliam
1983	47	29	1965	Action & Adventure	Norman Taurog
2002	25	21	1989	Action & Adventure	William Shatner
2011	58	41	1998	Action & Adventure	Che-Kirk Wong
2019	10	1	2005	Action & Adventure	Uwe Boll
2055	74	81	2011	Action & Adventure	Jennifer Yuh
2057	63	29	2006	Action & Adventure	Christophe Gans
2067	45	8	1996	Action & Adventure	Ernest Dickerson
2082	50	80	1968	Action & Adventure	Christian Marquand
2099	46	37	1993	Action & Adventure	John McTiernan
2101	48	36	2004	Action & Adventure	Donovan Cook
2109	32	17	2012	Action & Adventure	Brian Taylor
2112	38	41	2002	Action & Adventure	Chuck Russell
2120	62	81	2011	Action & Adventure	Hark Tsui
2121	73	70	2010	Action & Adventure	John Woo
2147	60	34	2007	Action & Adventure	Kevin Munroe
2164	57	73	1968	Action & Adventure	Roger Vadim
2180	58	78	2008	Action & Adventure	Mamoru Oshii
2192	58	19	2009	Action & Adventure	Michael Bay
2196	15	0	1987	Action & Adventure	Joseph Sargent
2210	35	28	1996	Action & Adventure	Ringo Lam
2211	77	24	2000	Action & Adventure	Dominic Sena
2248	91	82	2005	Action & Adventure	Joss Whedon
2250	47	11	2004	Action & Adventure	Dennie Gordon
2251	60	73	2006	Action & Adventure	Mike Judge
2267	39	26	1992	Action & Adventure	Barry Levinson
2303	50	56	2012	Action & Adventure	D. Kerry Prior
2305	57	100	1942	Action & Adventure	Richard Thorpe
2308	57	67	1977	Action & Adventure	Vincent McEveety
2326	43	31	1998	Action & Adventure	Stephen Sommers
2361	28	25	2014	Action & Adventure	David Hayter
2362	63	47	2001	Action & Adventure	Stephen Sommers
2384	34	66	2015	Action & Adventure	Jordan Rubin
2396	37	36	2012	Action & Adventure	Timo Vuorensola
2402	32	54	2001	Action & Adventure	Larry Guterman
2404	45	55	1998	Action & Adventure	Jonathan Frakes
2423	94	96	1956	Action & Adventure	Melvin Frank
2425	76	44	2004	Action & Adventure	Jon Turteltaub
2429	30	22	2002	Action & Adventure	Keith Donovan
2451	79	95	2005	Action & Adventure	Steve Box
2476	80	74	2006	Action & Adventure	John Lasseter
2514	42	74	2005	Action & Adventure	Steven Spielberg
2524	82	87	2008	Action & Adventure	Angelina Jolie
2534	38	28	1987	Action & Adventure	Elaine May
2546	23	33	1986	Action & Adventure	Harley Cokeliss
2550	83	83	1991	Action & Adventure	Nicholas Meyer
2556	87	100	1965	Action & Adventure	Sidney J. Furie
2561	29	22	1995	Action & Adventure	Frank Marshall
2568	62	26	2012	Action & Adventure	Björn Stein
2570	63	30	1997	Action & Adventure	Phillip Noyce
2628	26	33	1933	Action & Adventure	Ernest B. Schoedsack
2644	83	89	1979	Action & Adventure	Arthur Hiller
2683	13	17	2005	Action & Adventure	Brett Leonard
2688	53	71	2014	Action & Adventure	Ben Stassen
2707	77	94	1999	Action & Adventure	David O. Russell
2711	83	86	1979	Action & Adventure	Carroll Ballard
2721	69	92	1982	Action & Adventure	Walter Hill
2745	54	19	1991	Action & Adventure	John Flynn
2756	71	69	2012	Action & Adventure	Barry Sonnenfeld
2759	22	20	2015	Action & Adventure	Ekachai Uekrongtham
2761	38	22	2011	Action & Adventure	Robert Rodriguez
2794	85	98	1981	Action & Adventure	George Miller
2812	58	60	1985	Action & Adventure	Arna Selznick
2813	32	34	2008	Action & Adventure	Kirk De Micco
2814	62	73	1974	Action & Adventure	Gordon Hessler
2824	49	78	2013	Action & Adventure	Vijay Krishna Acharya
2839	20	4	1992	Action & Adventure	Roger Spottiswoode
2843	7	9	2011	Action & Adventure	Ryan Little
2862	41	16	2010	Action & Adventure	Anthony Bell
2873	58	28	1986	Action & Adventure	Penny Marshall
2881	69	55	2004	Action & Adventure	Moon-saeng Kim
2887	57	9	2014	Action & Adventure	Mark Waters
2898	31	20	1987	Action & Adventure	Peter George
2905	71	88	2010	Action & Adventure	Jalmari Helander
2929	21	0	1999	Action & Adventure	Bob Misiorowski
2943	58	89	1986	Action & Adventure	Peter Faiman
2964	70	43	1975	Action & Adventure	D'Urville Martin
2985	64	79	1995	Action & Adventure	???
2994	35	0	1994	Action & Adventure	Aaron Norris
3022	43	43	2011	Action & Adventure	Michel Gondry
3028	63	59	1993	Action & Adventure	Jim Abrahams
3037	66	50	2001	Action & Adventure	Hiroyuki Kitakubo
3052	68	11	2002	Action & Adventure	Steve Oedekerk
3053	36	11	1997	Action & Adventure	Harry Dean Stanton
3096	30	14	1989	Action & Adventure	Ablert Pyun
3107	41	14	2013	Action & Adventure	John Moore
3139	35	32	1990	Action & Adventure	Irvin Kershner
3141	74	100	1993	Action & Adventure	Ronny Yu
3158	48	71	2003	Action & Adventure	Steve Anderson (V)
3197	70	85	2007	Action & Adventure	Gabor Csupo
3201	52	14	2001	Action & Adventure	James Wong
3227	39	50	1988	Action & Adventure	William Lustig
3230	44	15	1978	Action & Adventure	Michael Schultz
3235	24	41	1992	Action & Adventure	Randal Kleiser
3263	62	37	2012	Action & Adventure	Michael Thurmeier
3288	86	85	2009	Action & Adventure	Shawn Maurer
3306	93	92	2004	Action & Adventure	Edgar Wright
3312	25	15	1992	Action & Adventure	Geoff Murphy
3315	83	82	2000	Action & Adventure	Bryan Singer
3337	76	100	2013	Action & Adventure	James Tucker
3350	55	38	2004	Action & Adventure	Angela Robinson (III)
3351	70	69	2013	Action & Adventure	James Mangold
3372	29	26	1999	Action & Adventure	Maurice Joyce (II)
3396	40	43	2003	Action & Adventure	Bernie Mac
3401	70	85	2014	Action & Adventure	Tommy Wirkola
3410	20	0	2002	Action & Adventure	Bob Misiorowski
3429	53	21	2014	Action & Adventure	Jonathan Liebesman
3441	36	20	2006	Action & Adventure	Dominic Scott Kay
3477	93	91	2014	Action & Adventure	James Gunn
3478	33	20	2012	Action & Adventure	Ben Stassen
3487	84	38	1978	Action & Adventure	Lou Adler
3493	94	93	1991	Action & Adventure	James Cameron
3496	43	35	1992	Action & Adventure	Fran Rubel Kuzui
3531	75	79	1989	Action & Adventure	Stephen Herek
3556	50	40	1986	Action & Adventure	Harry Winer
3557	23	13	2012	Action & Adventure	John Gulager
3578	90	90	1982	Action & Adventure	Nicholas Meyer
3580	38	73	2015	Action & Adventure	Jalmari Helander
3595	41	81	2002	Action & Adventure	Rob Minkoff
3617	23	0	1991	Action & Adventure	Russell Mulcahy
3649	64	75	2014	Action & Adventure	Anthony Stacchi
3657	27	8	2003	Action & Adventure	David McNally
3659	40	38	1996	Action & Adventure	Stephen Herek
3690	28	17	1975	Action & Adventure	Arthur Allan Seidelman
3702	71	67	1969	Action & Adventure	Ishirô Honda
3724	37	11	1995	Action & Adventure	Greg Beeman
3765	84	33	2006	Action & Adventure	Tetsuya Nomura
3766	45	100	1969	Action & Adventure	John Sturges
3769	64	67	1987	Action & Adventure	Jackie Chan
3781	60	51	2012	Action & Adventure	Andrew Stanton
3792	65	81	1987	Action & Adventure	Joe Dante
3794	77	86	2009	Action & Adventure	Lauren Montgomery
3795	47	62	1977	Action & Adventure	Terry Gilliam
3799	69	79	2011	Action & Adventure	Sheng Ding
3825	79	83	1941	Action & Adventure	W.S. Van Dyke
3829	32	38	1973	Action & Adventure	J. Lee Thompson
3838	48	57	2012	Action & Adventure	Julien Leclercq
3841	41	17	1987	Action & Adventure	Gary Goddard
3880	21	6	1998	Action & Adventure	Carl Schenkel
3914	75	82	2011	Action & Adventure	J.J. Abrams
3921	58	18	1994	Action & Adventure	Jonathan Prince
3941	16	0	1999	Action & Adventure	Kevin Elders
3950	60	67	2008	Action & Adventure	Arthur Qwak
3955	51	83	1985	Action & Adventure	Charles Band
3960	39	12	1998	Action & Adventure	Barry Levinson
3982	43	0	1989	Action & Adventure	Robert Wise
3988	34	0	1989	Action & Adventure	Michael Herz
4016	38	11	2000	Action & Adventure	Doug Aarniokoski
4032	49	40	2002	Action & Adventure	Rob Bowman
4036	46	9	2015	Action & Adventure	Olivier Megaton
4051	78	85	2014	Action & Adventure	Chris Miller (VII)
4052	69	82	1980	Action & Adventure	Mike Hodges
4077	34	17	2014	Action & Adventure	Jonathan Newman
4086	88	76	2010	Action & Adventure	Mamoru Hosoda
4099	92	91	2014	Action & Adventure	Bryan Singer
4102	70	89	1979	Action & Adventure	George Miller
4117	90	82	1994	Action & Adventure	Alex Proyas
4120	49	25	2012	Action & Adventure	Jonathan Liebesman
4122	57	44	2007	Action & Adventure	Hal Hartley
4142	36	40	1999	Action & Adventure	Steve Miner
4146	93	96	1923	Action & Adventure	Fred C. Newmeyer
4195	50	20	1986	Action & Adventure	Menahem Golan
4213	81	75	1987	Action & Adventure	Jerry Rees
4224	39	41	1970	Action & Adventure	Ted Post
4252	40	24	2002	Action & Adventure	Brian Levant
4268	96	94	1977	Action & Adventure	George Lucas
4273	69	40	2006	Action & Adventure	Richard Claus
4286	77	84	1981	Action & Adventure	John Carpenter
4314	51	83	1960	Action & Adventure	Jack Sher
4330	24	21	2001	Action & Adventure	John Carpenter
4344	76	30	1991	Action & Adventure	Steven Spielberg
4354	45	93	2001	Action & Adventure	Robert Rodriguez
4366	70	43	1981	Action & Adventure	Peter Medak
4369	96	95	1981	Action & Adventure	Steven Spielberg
4380	70	78	2007	Action & Adventure	Ash Brannon
4403	72	0	1994	Action & Adventure	Keenen Ivory Wayans
4416	74	96	1970	Action & Adventure	Billy Wilder
4420	74	78	1953	Action & Adventure	Christian-Jaque
4421	42	40	1967	Action & Adventure	Leslie H. Martinson
4429	38	74	2002	Action & Adventure	Robert Rodriguez
4430	38	23	2003	Action & Adventure	Paul Hunter
4435	63	57	1977	Action & Adventure	Kenneth Johnson
4436	73	18	1989	Action & Adventure	Arthur Hiller
4437	14	3	1993	Action & Adventure	Fred Dekker
4439	54	75	1964	Action & Adventure	Nathan Juran
4450	71	91	1985	Action & Adventure	Ken Kwapis
4465	50	12	2001	Action & Adventure	George Gallo
4468	22	13	1996	Action & Adventure	Kevin Hooks
4476	76	80	2012	Action & Adventure	Michael Chang
4481	72	78	2012	Action & Adventure	Pete Travis
4488	68	71	2005	Action & Adventure	Takashi Miike
4499	34	29	2002	Action & Adventure	Gérard Pirès
4505	70	37	2006	Action & Adventure	Justin Lin
4530	86	66	1986	Action & Adventure	Jim Henson
4532	16	9	1990	Action & Adventure	Albert Pyun
4558	85	72	2014	Action & Adventure	Christopher Nolan
4559	51	48	1996	Action & Adventure	Bronwen Hughes
4562	19	50	2008	Action & Adventure	Edward Neumeier
4564	33	59	2014	Action & Adventure	Anthony C. Ferrante
4574	77	80	2005	Action & Adventure	Shaad Ali
4578	18	0	2011	Action & Adventure	Kevin Gates
4596	42	53	1994	Action & Adventure	Martin Campbell
4632	27	25	1997	Action & Adventure	Dean Cundey
4647	19	10	2000	Action & Adventure	Courtney Solomon
4670	74	89	2008	Action & Adventure	Byron Howard
4684	79	92	1997	Action & Adventure	Barry Sonnenfeld
4706	75	71	1948	Action & Adventure	Vincente Minnelli
4710	78	80	2006	Action & Adventure	Pierre Morel
4712	33	22	2009	Action & Adventure	Chris Nahon
4715	20	20	1989	Action & Adventure	Steven Lisberger
4717	76	86	1983	Action & Adventure	Hark Tsui
4725	57	48	2006	Action & Adventure	Roger Allers
4731	57	26	2012	Action & Adventure	McG
4732	81	100	2009	Action & Adventure	Jamin Winans
4781	47	44	2011	Action & Adventure	Ben Stassen
4785	65	36	1999	Action & Adventure	Les Mayfield
4803	36	29	2001	Action & Adventure	Teddy Chan
4818	94	100	2004	Action & Adventure	Masaaki Yuasa
4833	37	14	1996	Action & Adventure	Jean-Claude Van Damme
4868	25	11	1997	Action & Adventure	Tsui Hark
4878	67	44	2006	Action & Adventure	Shawn Levy
4879	92	89	2014	Action & Adventure	Joe Russo
4917	74	63	1971	Action & Adventure	Robert Stevenson
4920	59	43	1979	Action & Adventure	Richard Moore
4922	37	50	2013	Action & Adventure	Eran Creevy
4954	35	21	1994	Action & Adventure	Paul Michael Glaser
4955	45	6	1994	Action & Adventure	Daniel Petrie Jr.
4965	48	40	1987	Action & Adventure	Donald G. Jackson
4972	63	50	2010	Action & Adventure	Zack Snyder
4989	68	84	2011	Action & Adventure	Chris Miller
5012	78	77	2007	Action & Adventure	Quentin Tarantino
5015	29	16	1990	Action & Adventure	Roland Joffé
5018	37	4	2007	Action & Adventure	Les Mayfield
5019	46	38	2012	Action & Adventure	Stephen St. Leger
5024	59	0	1999	Action & Adventure	Rowdy Herrington
5056	47	11	1993	Action & Adventure	Bob Radler
5059	31	20	2005	Action & Adventure	Robert Rodriguez
5083	56	43	1993	Action & Adventure	Ted Demme
5096	52	22	2001	Action & Adventure	Michael Haigney
5102	72	46	2005	Action & Adventure	Francis Lawrence (II)
5103	90	95	1979	Action & Adventure	George A. Romero
5117	63	45	2009	Action & Adventure	Carlos Saldanha
5160	17	31	2008	Action & Adventure	Susan Montford
5174	20	27	1999	Action & Adventure	Amanda Poe
5207	87	96	1988	Action & Adventure	Martin Brest
5213	60	33	1998	Action & Adventure	Rob LaDuca
5245	58	32	1967	Action & Adventure	Richard Fleischer
5264	89	96	1964	Action & Adventure	Guy Hamilton
5283	46	31	1991	Action & Adventure	Stan Dragoti
5310	47	44	2009	Action & Adventure	Shawn Levy
5332	61	38	1990	Action & Adventure	Clive Barker
5335	20	14	2009	Action & Adventure	James Wong
5371	55	37	1989	Action & Adventure	Michael Ritchie
5378	11	3	2000	Action & Adventure	Roger Christian
5393	37	29	1993	Action & Adventure	Robert Townsend
5399	61	43	2008	Action & Adventure	Paul W.S. Anderson
5428	80	85	2014	Action & Adventure	David Leitch
5457	85	92	2012	Action & Adventure	Morten Tyldum
5476	82	67	2006	Action & Adventure	Erik Canuel
5523	25	14	2007	Action & Adventure	Jim Isaac
5535	70	68	2002	Action & Adventure	Ron Clements
5549	59	50	1972	Action & Adventure	Robert Blees
5558	44	48	1998	Action & Adventure	Joe Dante
5579	86	72	1987	Action & Adventure	Joel Schumacher
5608	94	96	1985	Action & Adventure	Robert Zemeckis
5612	30	29	2002	Action & Adventure	Jonathan Frakes
5625	73	67	1993	Action & Adventure	Jing Wong
5639	60	50	2015	Action & Adventure	Brad Peyton
5643	39	45	2002	Action & Adventure	Robin Budd
5658	60	86	2012	Action & Adventure	Peter Lord
5665	97	95	1980	Action & Adventure	Irvin Kershner
5667	49	66	2012	Action & Adventure	Michael J. Bassett
5670	41	66	1999	Action & Adventure	Rob Minkoff
5674	61	82	2014	Action & Adventure	Jong-bin Yoon
5687	87	79	2014	Action & Adventure	Gareth Evans
5695	41	32	1990	Action & Adventure	John Badham
5701	72	87	2012	Action & Adventure	Chris Butler (XII)
5708	48	53	1991	Action & Adventure	Steve Miner
5714	73	80	1992	Action & Adventure	Tim Burton
5740	50	27	1955	Action & Adventure	Charles Lamont
5743	57	33	2002	Action & Adventure	Si-myung Lee
5746	52	67	2013	Action & Adventure	Rohit Shetty
5754	21	11	1981	Action & Adventure	John Derek
5759	31	19	2010	Action & Adventure	Scott Stewart
5789	49	33	2014	Action & Adventure	Patrick Hughes
5790	67	65	2012	Action & Adventure	Simon West
5822	19	29	1971	Action & Adventure	Ishirô Honda
5831	70	58	2004	Action & Adventure	Alex Proyas
5842	62	78	1987	Action & Adventure	Jackie Chan
5861	32	41	2000	Action & Adventure	Rogerspottiswoode
5868	94	98	1986	Action & Adventure	James Cameron
5897	63	18	2007	Action & Adventure	Brett Ratner
5898	74	52	2001	Action & Adventure	Brett Ratner
5909	53	14	1997	Action & Adventure	Dennis Dugan
5916	82	71	2015	Action & Adventure	Colin Trevorrow
5953	83	64	2012	Action & Adventure	Peter Jackson
5975	34	55	1978	Action & Adventure	Meng Hua Ho
5977	70	50	2009	Action & Adventure	Lauren Montgomery
5981	34	8	2013	Action & Adventure	Manuel Sicilia
5999	93	100	2012	Action & Adventure	Jay Oliva
6009	67	70	2013	Action & Adventure	Kris Pearn
6013	67	35	2007	Action & Adventure	Jon Turtletaub
6035	27	30	2003	Action & Adventure	Ron Shelton
6046	58	46	1987	Action & Adventure	Tony Scott
6071	77	100	1958	Action & Adventure	Nathan Juran
6088	82	80	2006	Action & Adventure	Michel Ocelot
6094	79	60	1998	Action & Adventure	Brett Ratner
6097	38	17	2010	Action & Adventure	Roel Reiné
6101	65	43	1986	Action & Adventure	Don Jurwich
6118	34	21	1993	Action & Adventure	Stuart Gillard
6126	39	0	2011	Action & Adventure	Brian Metcalf
6140	52	18	2014	Action & Adventure	Luke Greenfield
6147	8	0	1998	Action & Adventure	Jeff Woolnough
6186	26	7	1984	Action & Adventure	Jeannot Szwarc
6203	72	67	1968	Action & Adventure	Mario Bava
6216	30	27	1994	Action & Adventure	Dan Goldberg
6228	53	83	1966	Action & Adventure	Senkichi Taniguchi
6233	57	45	1993	Action & Adventure	Tom Shadyac
6247	40	43	2014	Action & Adventure	Ernie Barbarash
6248	44	60	2002	Action & Adventure	Brett Climo
6261	45	25	1987	Action & Adventure	Tom Holland
6266	53	33	1991	Action & Adventure	Sheldon Lettich
6273	36	19	2015	Action & Adventure	Cameron Crowe
6276	52	13	1973	Action & Adventure	Larry Cohen
6289	26	7	2014	Action & Adventure	McG
6290	51	39	2011	Action & Adventure	Brad Lewis
6292	73	96	1992	Action & Adventure	Stanley Tong
6295	78	80	1960	Action & Adventure	Ken Annakin
6317	63	27	1986	Action & Adventure	Mike Marvin
6320	35	51	2012	Action & Adventure	John Hyams
6324	24	5	1999	Action & Adventure	Mic Rodgers
6329	15	29	2015	Action & Adventure	Michael Almereyda
6345	42	38	2009	Action & Adventure	Paul Weitz
6362	82	83	2009	Action & Adventure	James Cameron
6385	65	25	2000	Action & Adventure	Mamoru Hosada
6414	68	34	1995	Action & Adventure	Iain Softley
6417	79	14	2015	Action & Adventure	Theo Avgerinos
6419	81	72	1982	Action & Adventure	Jim Henson
6426	83	91	1997	Action & Adventure	John Woo
6487	69	63	1997	Action & Adventure	Paul Verhoeven
6489	65	80	2005	Action & Adventure	George Lucas
6505	74	87	1934	Action & Adventure	Edgar G. Ulmer
6507	61	33	2000	Action & Adventure	Andrzej Bartkowiak
6508	74	75	2011	Action & Adventure	Steven Spielberg
6525	32	0	1993	Action & Adventure	Allan Goldstein
6528	46	53	2008	Action & Adventure	Gil Kenan
6529	48	36	2005	Action & Adventure	Mark Dindal
6530	83	83	1986	Action & Adventure	John Carpenter
6541	58	30	2013	Action & Adventure	Jeff Wadlow
6595	57	16	2015	Action & Adventure	Kyle Newman
6610	61	56	1987	Action & Adventure	Joe Camp
6612	53	29	1992	Action & Adventure	Jon Turteltaub
6626	50	29	2013	Action & Adventure	Fredrik Bond
6640	62	38	2007	Action & Adventure	Todd Holland
6650	85	87	2003	Action & Adventure	Bryan Singer
6659	44	37	2009	Action & Adventure	Howard McCain
6660	25	11	2001	Action & Adventure	Simon Wincer
6678	73	79	2012	Action & Adventure	Conrad Vernon
6689	57	35	1985	Action & Adventure	John Landis
6694	87	94	1992	Action & Adventure	Hayao Miyazaki
6705	45	54	2012	Action & Adventure	Charlotte Brandstrom
6718	78	73	1990	Action & Adventure	Robert Zemeckis
6730	57	65	2011	Action & Adventure	Jason Eisener
6732	76	33	2012	Action & Adventure	Pascal Chaumeil
6741	24	18	2008	Action & Adventure	Simon Hunter
6766	49	69	2011	Action & Adventure	Anubhav Sinha
6775	79	76	1960	Action & Adventure	George Pal
6780	62	14	1999	Action & Adventure	Michael Haigney
6785	41	60	1990	Action & Adventure	Spiro Razatos
6793	58	47	2014	Action & Adventure	Takeshi Kitano
6822	49	25	1987	Action & Adventure	Gary Sherman
6827	71	68	1986	Action & Adventure	Don Bluth
6835	58	83	2014	Action & Adventure	Álex de la Iglesia
6840	23	0	1979	Action & Adventure	Irwin Allen
6867	45	12	2003	Action & Adventure	Richard Donner
6869	20	40	1978	Action & Adventure	Steve Binder
6890	31	13	2004	Action & Adventure	Kevin Allen
6892	41	25	1995	Action & Adventure	Peter Hewitt
6894	69	17	1988	Action & Adventure	Ken Annakin
6907	54	33	2011	Action & Adventure	Dariusz Wolski
6918	84	72	1989	Action & Adventure	Tim Burton
6927	82	93	2012	Action & Adventure	Rian Johnson
6933	45	20	1980	Action & Adventure	Buddy Van Horn
6934	43	46	2005	Action & Adventure	Harold Ramis
6938	56	6	1985	Action & Adventure	Michael Winner
6941	35	40	2000	Action & Adventure	Doug Lefler
6943	42	14	2007	Action & Adventure	Frederik Du Chau
6965	69	57	2007	Action & Adventure	Takashi Miike
6977	33	40	1981	Action & Adventure	Paul Baxley (II)
6987	86	95	2003	Action & Adventure	Peter Jackson
6991	44	20	2008	Action & Adventure	Gabor Csupo
6994	95	86	2003	Action & Adventure	Leiji Matsumoto
7003	71	85	1953	Action & Adventure	Byron Haskin
